CL_act,CL_pred,Error
0.5674559422867069,0.557742791223997,1.7117013566847825
0.5745314938471429,0.5674020560085555,1.2409133206689191
0.5816668891065058,0.5767085394018219,0.8524380186571012
0.5887840710959295,0.5856565241596048,0.5311874233457481
0.5958720570514761,0.5942432533951889,0.27334788349480177
0.602907523818481,0.6024687529946376,0.0727758083137575
0.6098671533348015,0.6103356151602679,0.07681374917551512
0.6167460921952845,0.6178487515982016,0.17878660552063164
0.6234827852659925,0.6250151248366215,0.2457709509934896
0.6300987253482548,0.6318434658018413,0.276899537072083
0.6365298948926188,0.6383439851689341,0.2849968698832798
0.642765667733141,0.6445280852255844,0.27419284832976376
0.6488209841503414,0.6504080781214889,0.24461199774941036
0.6546459172005455,0.6559969154905125,0.20637084177416773
0.6602370200435848,0.6613079335836594,0.16220137731808915
0.6655812037963759,0.6663546172747696,0.11620121992362983
0.6707220377705982,0.6711503856144055,0.06386369012580466
0.6756194017496224,0.6757084010071123,0.013172987226145924
0.6802928243047934,0.6800414035493736,0.036957725620106685
0.6847262711511704,0.6841615715492497,0.08247085378676157
0.6889296095428408,0.6880804087007304,0.12326380378307265
0.6929110354151877,0.6918086577491924,0.1590936800905133
0.6966916884228276,0.6953562397108647,0.1916843180641478
0.7002520605685351,0.6987322167765037,0.21704238767929415
0.7036083974612528,0.7019447759619382,0.2364413934394897
0.7067528974150139,0.7050012294585403,0.24784729753220014
0.7096924777460557,0.707908026662762,0.2514400447023257
0.7124482810787474,0.7106707722912722,0.2494930277302066
0.7150250736603906,0.7132942451473427,0.24206542914464577
0.7174131696849552,0.7157824133301598,0.22731062429638713
0.7196349456258186,0.7181384442088388,0.20795285527420723
0.7217027725775764,0.7203647113183103,0.18540336965690904
0.7236115806069973,0.7224628050970072,0.15875582160064347
0.7253861531131995,0.7244335592252683,0.13132231485849358
0.7270273242040733,0.7262771079412743,0.10318955530596373
0.728554712462864,0.7279929905770368,0.07710085134557153
0.7299445433177976,0.7295803163195356,0.04989789999751006
0.7312103654375873,0.7310379942341213,0.023573408093424942
0.7323498685245317,0.7323650214810858,0.002069087086028457
0.7333914494131492,0.7335608084351979,0.023092582028908407
0.7342927601696488,0.7346255062627765,0.04531518097097061
0.7350693041922558,0.7355602939686889,0.0667950319286792
0.7357367590404074,0.7363675808117041,0.0857401459890971
0.7362967609982277,0.737051087387226,0.1024486903861473
0.7367583497761808,0.7376157834879834,0.11637923235794463
0.7371459979746419,0.7380676800930964,0.12503386316780424
0.7374760937221695,0.7384134926243173,0.1271090561616201
0.7377250127357682,0.7386602094200598,0.12676765300712542
0.7379098483812047,0.7388146110533061,0.12261154585296821
0.7380293657333787,0.7388827922542985,0.11563584872693365
0.7381251706613314,0.7388697398088262,0.10087301952156189
0.7381683683919212,0.7387790184372073,0.08272503556557521
0.7381358543990544,0.7386126133096834,0.06458958845959142
0.7380326081428351,0.73837097205658,0.04584674308582589
0.7378741926247968,0.7380532786326995,0.02427053414968706
0.7376387844832473,0.7376579726983721,0.0026013023621381938
0.7373246340881231,0.7371834981446649,0.01914162865760792
0.736953757635369,0.7366292227227469,0.04403735095447472
0.7365148466350381,0.7359964225772818,0.07038881295126884
0.7360177933307658,0.7352891825775678,0.09899363300725664
0.7354609414396834,0.7345150420136957,0.1286131421386091
0.7348447224034698,0.7336852303651402,0.15778735329787424
0.7341802528802991,0.7328143945697574,0.18603855186559898
0.7334783107166117,0.7319198066547292,0.2124812743760411
0.7327254149191861,0.7310201328639323,0.23273139166898635
0.731925763627512,0.7301339115431119,0.24481336406570825
0.7310794917594126,0.7292779055253995,0.24642822761685787
0.730190842167387,0.728465464529382,0.2362913280155251
0.7292582567569299,0.7277049740530743,0.21299487382743493
0.7282974077745217,0.7269984102677283,0.1783608582052751
