time,V,alpha,theta,dele
0.05,0.9497042293121123,0.2614805819809795,0.28936696544798907,0.41004211483782205
0.0512178619756427,0.949323311786333,0.2658847991813639,0.290769746129197,0.40999184869792327
0.0524357239512855,0.9489305040413695,0.27049349330702405,0.29236084054578626,0.4099417853858151
0.0536535859269282,0.9485254392796907,0.2752987162507931,0.29412743628714505,0.4098919737257441
0.054871447902571,0.948107744102131,0.28028903877528494,0.29605725521577586,0.4098424629568561
0.0560893098782138,0.9476770389151845,0.28544940401092095,0.298138480869378,0.4097933022470073
0.0573071718538565,0.9472329383954411,0.29076111887946343,0.3003596766466364,0.4097445401112819
0.0585250338294993,0.9467750520135755,0.2962020108656538,0.30270970636694305,0.40969622372370706
0.059742895805142,0.9463029846199894,0.30174676827170716,0.3051776668590487,0.40964839811023124
0.0609607577807848,0.9458163370938197,0.3073674682348866,0.3077528400114852,0.4096011052109067
0.0621786197564276,0.9453147070565605,0.31303427932451555,0.31042466926737056,0.40955438279951895
0.0633964817320703,0.9447976896509959,0.3187163063993473,0.3131827629508023,0.40950826324981443
0.0646143437077131,0.9442648783855034,0.32438252734549144,0.31601692418959915,0.40946277213924986
0.0658322056833558,0.9437158660430623,0.3300027574335999,0.31891720470339174,0.40941792668406535
0.0670500676589986,0.9431502456534737,0.3355485701295584,0.32187397753486674,0.40937373400388505
0.0682679296346414,0.9425676115264043,0.3409941050434931,0.32487802209547056,0.4093301892203962
0.0694857916102841,0.9419675603418591,0.3463167045255157,0.3279206138297267,0.40928727340353854
0.0707036535859269,0.9413496922936216,0.35149733870259714,0.3309936104752808,0.40924495139077705
0.0719215155615696,0.9407136122800587,0.35652080154928945,0.33408952733365466,0.4092031695212455
0.0731393775372124,0.9400589311354796,0.36137568418274646,0.3372015951081967,0.40916185334788135
0.0743572395128552,0.9393852668940074,0.36605415234864475,0.34032379556823084,0.409120905418398
0.0755751014884979,0.9386922460766546,0.3705515702610829,0.34345087235727334,0.40908020325136574
0.0767929634641407,0.9379795049910402,0.3748660211521535,0.34657831644182996,0.4090395976785802
0.0780108254397835,0.9372466910319615,0.37899777606638413,0.3497023277614821,0.408998911780944
0.0792286874154262,0.9364934639698699,0.3829487577433725,0.3528197563908496,0.40895794071439856
0.080446549391069,0.9357194972132388,0.38672203769551083,0.35592802781720423,0.4089164528068723
0.0816644113667117,0.9349244790298806,0.3903213938182295,0.35902505770103343,0.40887419240883294
0.0828822733423545,0.9341081137115138,0.39375094486239226,0.36210916171639285,0.4088308851003152
0.0841001353179972,0.9332701226653403,0.3970148681926867,0.3651789658170961,0.40878624599725094
0.08531799729364,0.9324102454161016,0.4001171992660315,0.3682333216385435,0.40873999205915135
0.0865358592692828,0.931528240502089,0.4030617055278212,0.37127123083998864,0.4086918594766365
0.0877537212449255,0.9306238862488999,0.4058518239191665,0.3742917811391413,0.408641627405745
0.0889715832205683,0.9296969814054252,0.40849064966454113,0.37729409570099637,0.4085891495072653
0.0901894451962111,0.9287473456276089,0.41098096410175583,0.38027729650727893,0.4085343949284712
0.0914073071718538,0.9277748197969748,0.41332529062832796,0.38324048141952216,0.40847750050881393
