V,alpha,theta,dele
0.9499208422199568,0.2616284345138666,0.2893247577672978,0.4079205167098065
0.9495115439096475,0.2658897775312523,0.2907487983636888,0.4082772742653297
0.9490915167742937,0.2704267881145578,0.29235666823462,0.4086083878014132
0.9486604745737421,0.27521257606822636,0.29413684209218566,0.40891373656833613
0.9482181214936041,0.28021815645597403,0.29607768364263676,0.4091932305278698
0.9477641517035724,0.2854129406647684,0.29816754489222314,0.4094468131394674
0.9472982489341507,0.29076525928954106,0.30039485786453546,0.40967446442406424
0.9468200860826474,0.29624289822537375,0.3027482178462193,0.4098762043308068
0.9463293248606947,0.30181362925124955,0.30521645755760857,0.4100520964334299
0.9458256154969317,0.30744571739106047,0.30778871191250645,0.4102022519842354
0.9453085965098128,0.31310838931865465,0.31045447327919384,0.41032683435471795
0.9447778945666888,0.3187722498302555,0.3132036373767126,0.41042606389266745
0.9442331244463392,0.32440963668313755,0.31602654013217174,0.4105002232260572
0.9436738891229166,0.3299949076164624,0.31891398598383064,0.41054966304397683
0.943099779989744,0.33550465686061753,0.321857268240001,0.41057480838423566
0.9425103772415129,0.34091786167197935,0.32484818219584344,0.4105761654558391
0.9419052504330776,0.3462159622209539,0.3278790317705218,0.41055432902209843
0.9412839592321693,0.35138288039440857,0.3309426304583324,0.4105099903664922
0.9406460543818771,0.35640498469438797,0.33403229739251555,0.4104439458582113
0.9399910788866003,0.36127100942470575,0.33714184930291846,0.41035710612726556
0.9393185694323213,0.3659719368025589,0.34026558911222715,0.4102505058497863
0.9386280580484178,0.3705008505924396,0.34339829186381504,0.4101253141321448
0.9379190740138369,0.37485276943135315,0.34653518861087473,0.40998284546738395
0.9371911460052733,0.3790244673006902,0.34967194882473923,0.4098245712185239
0.9364438044790748,0.3830142877002689,0.3528046618031579,0.4096521315599711
0.9356765842720217,0.3868219570825783,0.35592981747930724,0.4094673477799209
0.9348890273989905,0.390448402083856,0.35904428695183926,0.409272234812402
0.9340806860179857,0.39389557410054393,0.3621453029770892,0.40906901382692346
0.9332511255253013,0.39716628384590563,0.36523044058825815,0.4088601246555776
0.9323999277359019,0.40026404770837476,0.36829759793424954,0.40864823778139303
0.9315266940967784,0.4031929470343888,0.371344977363884,0.4084362655469704
0.9306310488743486,0.40595750087789517,0.37437106672038206,0.4082273721685967
0.9297126422512807,0.4085625522930849,0.3773746207571933,0.4080249820578503
0.9287711532637658,0.41101316788773473,0.38035464254030593,0.4078327858604697
0.927806292507594,0.4133145500905008,0.3833103646652021,0.4076547435215949
0.9268178045407092,0.41547196140364917,0.3862412300898186,0.4074950835788792
0.9258054699114986,0.417490659799903,0.38914687236977646,0.4073582977728186
0.9247691067461061,0.41937584436567443,0.39202709508056205,0.407249129950406
0.9237085718346556,0.42113261028129784,0.39488185022538896,0.4071725581289255
0.9226237611654267,0.42276591225168125,0.3977112154595131,0.40713376848798316
0.9215146098676292,0.42428053554918815,0.4005153700142328,0.40713811997839416
0.9203810915372316,0.42568107389696425,0.4032945692789507,0.40719109818712873
0.9192232169359402,0.4269719134991265,0.4060491180993638,0.4072982570914578
0.9180410320704427,0.4281572226090195,0.40877934297473234,0.40746514738836564
0.9168346156768153,0.42924094611376945,0.41148556348665233,0.40769723021540544
0.9156040761529386,0.43022680469895797,0.4141680634626836,0.4079997753066885
0.9143495479991629,0.4311182982380445,0.4168270625647456,0.4083777429747256
0.913071187843629,0.4319187131240425,0.41946268918497015,0.40883564979853587
0.911769170142939,0.43263113332261693,0.42207495571746956,0.4093774185545423
0.9104436826606874,0.4332584549726279,0.42466373743626984,0.41000621377271895
0.9090949218352269,0.4338034043880474,0.42722875632727025,0.4107242653592579
0.9077230881536147,0.4342685593192101,0.4297695712735451,0.41153268402160653
0.9063283816507226,0.43465637330563894,0.43228557595674494,0.41243127378675687
0.904910997650989,0.4349692028902847,0.4347760056935952,0.41341834874979555
0.9034711228652947,0.43520933735775913,0.4372399541618827,0.41449056337092743
0.9020089319472279,0.43537903049776916,0.4396764005787649,0.4156427682250184
0.9005245846019176,0.43548053366917555,0.44208424737864693,0.4168679062118666
0.8990182233271025,0.4355161291390284,0.44446236780905474,0.41815696804131575
0.8974899718507164,0.4354881622837293,0.44680966213714035,0.41949903060310456
0.8959399343125446,0.4353990707563419,0.4491251203535153,0.42088140805196333
0.8943681952200216,0.4352514081378825,0.4514078883867027,0.4222899537136947
0.892774820190553,0.43504785889866243,0.4536573339066218,0.4237095621152359
0.8911598574753292,0.4347912407035947,0.45587310680102106,0.42512493568451887
0.889523340242955,0.4344844892191861,0.4580551883634575,0.42652170128289935
0.887865289585659,0.4341306196520899,0.4602039221713762,0.42788798905550945
0.8861857181967288,0.43373265832358876,0.46232001864910055,0.4292166209356223
0.8844846346553366,0.4332935367433518,0.4644045245773583,0.4305080977403144
0.882762048244222,0.43281594000711526,0.4664587486032803,0.43177461764642944
0.8810179742169046,0.4323021010676452,0.4684841344902911,0.4330453928979782
0.8792524394242061,0.43175353272827693,0.47048207583981155,0.4343735299511667
0.877465488204881,0.4311706903517152,0.47245366968388597,0.43584465167908926
0.8756571884420323,0.43055256059044067,0.4743994118798976,0.4375871845494123
0.8738276376856378,0.4298961753098318,0.47631884450227097,0.4397836811801957
