time,V,alpha,q,theta,dVdt,dalphadt,dqdt,dthetadt,CL,CD,Cm,dele
0.0,41.420795,0.036143,0.038662,0.150524,-0.26376795811741716,0.03326492294376929,0.33979650568689934,0.038662,0.5674559422867069,0.037649069,0.019421047280434624,0.006431
0.02,41.41550318652928,0.03684499834277806,0.045191875325974885,0.15136341949916213,-0.26551841633911155,0.03684165470719558,0.3133452420624744,0.045191875325974885,0.5745314938471429,0.03768000893205389,0.01791380397071412,0.006514
0.04,41.410172058205326,0.0376165828657003,0.051195392329507115,0.15233044852208893,-0.26788734737568454,0.03986388873630195,0.28782654662418344,0.051195392329507115,0.5816668891065057,0.03771380189749371,0.016459148910279938,0.006597
0.06,41.40478670645219,0.03844167622041552,0.05672115784774004,0.1534113547687284,-0.27084199881929716,0.04241385197222175,0.26490101731628984,0.05672115784774004,0.5887840710959291,0.03774733432503703,0.015152110192836602,0.0065856
0.08,41.39933414842064,0.03931010471698422,0.06179691621704217,0.1545962331803615,-0.2744196759496018,0.044524432670822456,0.24291092954994575,0.06179691621704217,0.5958720570514756,0.037782643493396356,0.013897956276224116,0.0065742
0.1,41.393803163299715,0.0402153263621722,0.06643967019162902,0.15587749525240407,-0.27860482060129654,0.04622286066979539,0.2218629365857186,0.06643967019162902,0.6029075238184807,0.03781946118084906,0.012697104504329372,0.0065628
0.12,41.388182530278456,0.04115079916274529,0.07066642252571614,0.1572475524802719,-0.2833818381013796,0.047536359353738206,0.20176368246926696,0.07066642252571614,0.6098671533348012,0.03785751916567255,0.011549970678264524,0.0065514
0.14,41.382461028545926,0.042109981125469306,0.07449417597351908,0.1586988163593808,-0.28876728859066536,0.04848436606991979,0.1813699403080828,0.07449417597351908,0.6167460921952844,0.037898395226144244,0.010385401188310994,0.006611
0.16,41.376627437291155,0.043086330257110075,0.07793993328925332,0.1602236983851466,-0.29467878781567336,0.049110210487567224,0.16327814926675668,0.07793993328925332,0.6234827852659923,0.03793799654054151,0.009352085930789653,0.0065945
0.18,41.3706705357032,0.04407330456443341,0.08102069722713443,0.1618146100529851,-0.3011787298684634,0.049422219178086924,0.14446239191782886,0.08102069722713443,0.6300987253482546,0.03798053468714177,0.008276758409835768,0.0066742
0.2,41.3645791029711,0.04506436205420513,0.08375347054137794,0.16346396285831208,-0.30818036809477833,0.0494647457517029,0.12768508437568088,0.08375347054137794,0.636529894892618,0.03802166984422241,0.007317682224057583,0.0066935
0.22,41.35834193080215,0.04605297185582912,0.08615526822397998,0.1651641793882731,-0.3156898966397572,0.04925965214392877,0.11209893348635569,0.08615526822397998,0.6427656677331411,0.03806239524608899,0.006426371667712511,0.0067009
0.24,41.35195281816202,0.0470377628527067,0.08824813806134962,0.16691233920954188,-0.32370782108839113,0.048822827843815114,0.09699066493264803,0.08824813806134962,0.6488209841503396,0.03810363227696097,0.005561968012160178,0.006734
0.26,41.34539457183838,0.048008218664212995,0.09004309929353295,0.16869577629698093,-0.33219791055515446,0.0481869366120907,0.08266263662828623,0.09004309929353295,0.6546459172005429,0.03814458836523273,0.004741825514496591,0.0067789
0.28,41.338660031807244,0.048962340560470795,0.09156070166497733,0.17051049236473312,-0.3411305239441026,0.04737415368247652,0.06938872579716558,0.09156070166497733,0.6602370200435822,0.038184713562979304,0.003981683355417269,0.0068176
0.3,41.33174203804462,0.04989812981160288,0.09282149492013017,0.1723524891269413,-0.35045923866032724,0.046410711029279406,0.05809389669431658,0.09282149492013017,0.6655812037963741,0.03822249332227571,0.003334676316822602,0.0067949999999999
0.32,41.324633430526504,0.050813587687732045,0.09384602880343881,0.17421776829774835,-0.3602361854668311,0.04529899186626174,0.04587665894299701,0.09384602880343881,0.6707220377705971,0.038262078495197006,0.0026342947098132842,0.0068739
0.34,41.31732704922892,0.051706715458981076,0.09465485305935067,0.17610233159129715,-0.3703678828387609,0.0440766054485244,0.03548829440741413,0.09465485305935067,0.6756194017496224,0.038299250533818226,0.002038502690795682,0.0068952
0.36,41.30981573412788,0.05257551439547275,0.0952685174323131,0.17800218072173055,-0.3808645991950461,0.04275605467958113,0.025652020739852597,0.0952685174323131,0.6802928243047943,0.03833575529021438,0.0014740277656635856,0.0069292
0.38,41.30209232519938,0.05341798576732987,0.0957075716667735,0.17991331740319144,-0.3916747637428829,0.041364806070174176,0.017491674477317525,0.0957075716667735,0.6847262711511718,0.03836978181646052,0.0010054902820274998,0.0069094
0.4,41.29414966241944,0.05423213084467521,0.09599256550717923,0.18183174334982266,-0.40279181950868903,0.0399194280157556,0.010383465787827577,0.09599256550717923,0.6889296095428419,0.03840210876463168,0.0005971121094544918,0.0068689
0.42,41.28598468506921,0.05501785938829017,0.09615130758662956,0.1837561297149576,-0.4141919732986057,0.03844430785766306,0.00468708459267311,0.09615130758662956,0.6929110354151911,0.0384320798349199,0.00026964234467833584,0.0067826
0.44,41.27758994085721,0.055774256733658614,0.09619858184168713,0.18568334126308522,-0.4258830165277627,0.036945484331707495,-0.0008210772813190993,0.09619858184168713,0.6966916884228298,0.038461420326080006,-4.725480423248014e-05,0.0067183
0.46,41.268953782802996,0.05649825443119261,0.09613064949959503,0.18760716317537957,-0.4378274807049368,0.03542772535443919,-0.005957004141246948,0.09613064949959503,0.7002520605685358,0.038489786031678894,-0.0003429821995445028,0.0066676
0.48,41.26007320888226,0.05719038931345445,0.09595779674219136,0.18952660292314918,-0.4500244155926003,0.03389450176347608,-0.011292207662951527,0.09595779674219136,0.7036083974612528,0.03851799716185163,-0.0006504433309052083,0.0066612
0.5,41.25094521707068,0.05785119821300643,0.0956903097513142,0.19144066797770257,-0.46243118132668504,0.032359390954816186,-0.015779222494913207,0.0956903097513142,0.7067528974150132,0.038544468926733265,-0.0009093025074664663,0.0066373
0.52,41.241566805343936,0.058481217962410834,0.09533847470880162,0.19334836581034828,-0.47503068976577456,0.03082978410831852,-0.019362078763177422,0.09533847470880162,0.7096924777460544,0.03856908813645884,-0.0011162777478952038,0.0065907
0.54,41.23193497167772,0.05908098539422996,0.09491257779649172,0.19524870389239485,-0.48783049341283247,0.02930710053920693,-0.02294091593867755,0.09491257779649172,0.7124482810787456,0.03859316380116343,-0.0013232256730538357,0.0065709
0.56,41.2220467140477,0.059651037341026086,0.09442290519622257,0.19714068969515078,-0.5008097704139662,0.027799641605835562,-0.026313783761613432,0.09442290519622257,0.7150250736603886,0.03861636693098207,-0.0015185000013686542,0.0065644
0.58,41.21189903042957,0.06019191063536151,0.09387974308983225,0.19902333068992464,-0.5139227197515489,0.02632177519846718,-0.028308437097294664,0.09387974308983225,0.717413169684953,0.038636922936049825,-0.0016344108469054644,0.0065021
0.6,41.20148891879902,0.06070414210979852,0.09329337765915888,0.20089563434802493,-0.5271790374798545,0.02487441132162968,-0.029906622112215713,0.09329337765915888,0.7196349456258163,0.038656263026501735,-0.0017275560201725163,0.0064382
0.62,41.190813377131725,0.0611882685968994,0.09267409508604049,0.20275660814076024,-0.5405710892455488,0.02346266583681983,-0.03141670439952105,0.09267409508604049,0.7217027725775739,0.038674817412472876,-0.001815726731671772,0.0063884
0.64,41.179869403403366,0.06164482692922645,0.0920321815523152,0.204605259539439,-0.5540611118214528,0.022098973789149018,-0.031976783386158704,0.0920321815523152,0.7236115806069947,0.03869127170409828,-0.0018490788982204916,0.0063013
0.66,41.16865399558963,0.06207435393934196,0.09137792323982108,0.20644059601536985,-0.5676629247222443,0.020783251417720694,-0.03272693993881951,0.09137792323982108,0.7253861531131967,0.03870729631151302,-0.0018934884520660066,0.0062403
0.68,41.15716523234767,0.0624776404232412,0.09072843563725899,0.2082620123646259,-0.5813418691492355,0.019532265425960482,-0.03288682256348863,0.09072843563725899,0.7270273242040708,0.038721675657352884,-0.0019038012332001156,0.0061574
0.7,41.14540103238435,0.06285612729760791,0.09006212389513117,0.21007006073395393,-0.5951322158660134,0.018316161758552663,-0.03403472664768614,0.09006212389513117,0.7285547124628605,0.03873689981920192,-0.0019713796313892617,0.0061461
0.72,41.13335917584182,0.06321042237162533,0.08936216983110837,0.21186423926275194,-0.608993206017513,0.017128089119837125,-0.034951727571772784,0.08936216983110837,0.729944543317794,0.03875123871723664,-0.002025680224633207,0.0061389
0.74,41.121038909283826,0.06354113445066968,0.08863129796126698,0.2136440564716226,-0.6229301045078874,0.015965077243648373,-0.036255923487944736,0.08863129796126698,0.7312103654375843,0.03876562211247746,-0.002102526180079051,0.0061706
0.76,41.10843947927412,0.06384887234011716,0.08787223280168342,0.21540902088116856,-0.6369208553687126,0.01483080127088543,-0.037504273976695104,0.08787223280168342,0.7323498685245301,0.0387793937659448,-0.002176252977997421,0.006215
0.78,41.09556013237645,0.06413424484534397,0.08708769886843412,0.21715864101199248,-0.6509962537259214,0.013716083356377973,-0.04030508484268957,0.08708769886843412,0.7333914494131487,0.038794968038659096,-0.002340241241663925,0.006364
0.8,41.08240011515455,0.06439786077172632,0.08628042067759548,0.21889242538469697,-0.6650654036443081,0.012641358264905006,-0.04154181298193781,0.08628042067759548,0.7342927601696497,0.038807684691640774,-0.002413595167493855,0.0064374
0.82,41.06895867417218,0.06464032892464042,0.0854531227452439,0.22060988251988473,-0.6791369953867624,0.011602841815730514,-0.041963634576274195,0.0854531227452439,0.7350693041922575,0.03881866848591025,-0.0024396993554352524,0.0064775
0.84,41.05523541247598,0.06486218497362273,0.08460558250743545,0.22231062086355274,-0.6932250176921696,0.01059372933680705,-0.04245261395538449,0.08460558250743545,0.7357367590404089,0.03882925698391853,-0.0024697781285654957,0.0065349
0.86,41.04123034384873,0.06506434764755538,0.0837585426827658,0.22399428646591008,-0.7072932428217885,0.009634051818515316,-0.04212158981950483,0.0837585426827658,0.7362967609982297,0.03883805525354977,-0.0024521927759563536,0.0065545
0.88,41.026943701419476,0.06524791537861944,0.08292319599646437,0.2256610132689314,-0.7213288049819545,0.008731176677424402,-0.04084218939884135,0.08292319599646437,0.7367583497761828,0.038844850930523395,-0.0023793661646029423,0.0065264
0.9,41.01237606735296,0.06541386280193902,0.08210110006245691,0.22731113776269826,-0.7353584989462095,0.007876382768122775,-0.03987743154390213,0.08210110006245691,0.7371459979746443,0.0388515611748795,-0.002324812400683606,0.0065228
0.92,40.997528023813935,0.06556316455263822,0.08129381249466908,0.22894499643729213,-0.7493951948115056,0.007064338359987515,-0.0399494320793177,0.08129381249466908,0.7374760937221719,0.03885929454665816,-0.0023306972533379934,0.0065848
0.94,40.982400152967166,0.06569679526584112,0.08050289090702654,0.23056292578279453,-0.7633832738389726,0.006306420992584133,-0.03912108453278339,0.08050289090702654,0.7377250127357707,0.03886515820589948,-0.002284055772924308,0.0065996
0.96,40.96699303697739,0.06581572957667184,0.079729892913455,0.232165262289287,-0.7773368625231212,0.005597005891242207,-0.03816268086895388,0.079729892913455,0.7379098483812074,0.038870330912643546,-0.002229776309291543,0.006611
0.98,40.951307258009386,0.06592094212025447,0.07897637612788015,0.23375234244685103,-0.7912387316515888,0.00493812241520078,-0.03662690988972809,0.07897637612788015,0.7380293657333815,0.03887415842693043,-0.002141683730068961,0.0065923
1.0,40.93534399622724,0.06601355609402385,0.07824928307626267,0.2353247121345486,-0.8051391978011493,0.004319308617116435,-0.036676905922669874,0.07824928307626267,0.7381251706613345,0.03887990559985498,-0.0021462801061489485,0.0066673
1.02,40.9191025238453,0.06609391193179061,0.07750820511726328,0.23688239544139625,-0.819021217469723,0.003712200713299335,-0.03764743468341982,0.07750820511726328,0.7381683683919245,0.03888675698920341,-0.0022048232824431182,0.0068040999999999
1.04,40.90258316100676,0.06616200637540982,0.07673725800526415,0.23842478760027772,-0.832854564406628,0.003110538648824601,-0.03854493629082371,0.07673725800526415,0.7381358543990576,0.0388932824613918,-0.0022592092471646055,0.0069477
1.06,40.8857873141115,0.06621804818898687,0.07593883001716052,0.23995144695931128,-0.846637688603509,0.0025146055057597982,-0.039553225301857405,0.07593883001716052,0.7380326081428381,0.03889975577574846,-0.0023202125429871026,0.0071083
1.08,40.86871638955939,0.06626224613662714,0.07511530942984758,0.24146193186661524,-0.8603870321769841,0.001920282670530793,-0.041554306208939504,0.07511530942984758,0.7378741926247997,0.03890750889160171,-0.002439633779559418,0.0073368
1.1,40.85137179375031,0.066294808982436,0.07426908452022056,0.24295580067030778,-0.874055426777034,0.0013390159370864074,-0.042960342036887395,0.07426908452022056,0.73763878448325,0.038914134968279876,-0.0025243236623891923,0.0075403
