time,V,alpha,q,CL,CD,Cm,dele
0.0833333333333333,0.9166666666666669,0.2795078703251806,0.5608356987691993,0.330638870701099,0.1928087966170514,0.527927025398316,0.4148943179726362
0.0878439332431213,0.91499171491289,0.2963764991132055,0.6082601721428523,0.3571359587476753,0.2152789965333511,0.4829975417796126,0.4158121551380679
0.0923545331529093,0.9132195277520874,0.3164894263917491,0.6413518884096957,0.3828820504490359,0.2414128334523665,0.446017595756228,0.4159422675295362
0.0968651330626973,0.9112937515809364,0.3375355412481895,0.662482770326804,0.4065090836426326,0.2692764473504554,0.4151855778140629,0.4168363896285426
0.1013757329724853,0.9091615595724774,0.3576463342917795,0.6739579370382857,0.4269310924532185,0.2959306244258931,0.3913694122686434,0.4177330755185139
0.1058863328822733,0.9067823976522787,0.3758541741529199,0.6783581419837887,0.4439090514865771,0.31948682942076,0.3747972496514909,0.4177010281314527
0.1103969327920613,0.904122837969684,0.3916104463409727,0.678286869178913,0.4575965361800654,0.338981834696858,0.3646485807850286,0.4163697796729321
0.1149075327018493,0.9011549900267632,0.4047163464814064,0.675140481157872,0.4682422094873418,0.3555298171887125,0.3575870752031026,0.415749342259428
0.1194181326116373,0.8978631840062941,0.4153356658441101,0.6702397152017505,0.4762488434856974,0.3681304655895456,0.3548978674534063,0.4140630087522696
0.1239287325214253,0.8942332074913956,0.423674338136323,0.6647664340974746,0.4821541219494447,0.3782182506100382,0.3534612432159908,0.4130221096205231
0.1284393324312133,0.8902560135877271,0.4299988709099092,0.658449128717838,0.4862086904829289,0.3877137186225384,0.3503056156774676,0.4149353386280744
0.1329499323410013,0.8859278154684562,0.4345264305881003,0.6515671235700349,0.4885077713189903,0.3939659064212315,0.350584063275652,0.4155057821177632
0.1374605322507893,0.8812488552614928,0.4375507217888765,0.645021142784395,0.4895815057184816,0.3982522059799801,0.3518009534099289,0.416048023906838
0.1419711321605773,0.8762218676641619,0.4393950607980948,0.6388865134998511,0.4897922488620674,0.4021131668239838,0.3515615210523937,0.4182060949515367
0.1464817320703653,0.8708500416374989,0.4402149711012834,0.6320506522981489,0.4890358127277874,0.4064788540892592,0.3491231684825814,0.4230478141887371
0.1509923319801533,0.8651401461462966,0.4400781085999795,0.6245844337641921,0.487297980916287,0.4098229540303207,0.3474178145377152,0.4282080844533255
0.1555029318899413,0.8591013858410826,0.4390929065636913,0.6168975344835377,0.4847471928276483,0.4117833341999652,0.3470371406138252,0.4329504567906362
