time,V,alpha,q,theta,dVdt,dalphadt,dqdt,dthetadt,CL,CD,Cm,dele
0.0,41.420795,0.036143,0.038662,0.150524,-0.2637679581174171,0.0332649229437692,0.3397965056868993,0.038662,0.5674559422867069,0.037649069,0.0194210472804346,0.006431
0.08,41.39933414842064,0.0393101047169843,0.0617969162170421,0.1545962331803616,-0.274419675949602,0.0445244326708222,0.2429109295499452,0.0617969162170421,0.5958720570514761,0.0377826434933963,0.013897956276224,0.0065742
0.16,41.37662743729116,0.0430863302571099,0.0779399332892542,0.1602236983851465,-0.2946787878156736,0.0491102104875681,0.1632781492667547,0.0779399332892542,0.6234827852659925,0.0379379965405415,0.0093520859307895,0.0065945
0.24,41.35195281816202,0.0470377628527068,0.0882481380613519,0.166912339209542,-0.3237078210883916,0.0488228278438165,0.0969906649326403,0.0882481380613519,0.6488209841503415,0.0381036322769609,0.0055619680121597,0.006734
0.32,41.3246334305265,0.0508135876877322,0.0938460288034387,0.1742177682977486,-0.3602361854668322,0.0452989918662611,0.0458766589429953,0.0938460288034387,0.6707220377705982,0.038262078495197,0.0026342947098131,0.0068739
0.4,41.29414966241944,0.0542321308446751,0.0959925655071775,0.1818317433498227,-0.4027918195086896,0.0399194280157543,0.0103834657878328,0.0959925655071775,0.6889296095428408,0.0384021087646316,0.0005971121094547,0.0068689
0.48,41.260073208882254,0.0571903893134545,0.0959577967421907,0.1895266029231493,-0.4500244155926013,0.0338945017634756,-0.0112922076629505,0.0959577967421907,0.7036083974612528,0.0385179971618516,-0.0006504433309051,0.0066612
0.56,41.2220467140477,0.0596510373410262,0.0944229051962251,0.1971406896951509,-0.5008097704139672,0.0277996416058373,-0.0263137837616219,0.0944229051962251,0.7150250736603906,0.038616366930982,-0.0015185000013691,0.0065644
0.64,41.179869403403366,0.0616448269292266,0.0920321815523187,0.2046052595394392,-0.5540611118214536,0.0220989737891514,-0.0319767833861701,0.0920321815523187,0.7236115806069973,0.0386912717040982,-0.0018490788982211,0.0063013
0.72,41.13335917584181,0.0632104223716257,0.0893621698311113,0.2118642392627525,-0.6089932060175146,0.0171280891198386,-0.0349517275717846,0.0893621698311113,0.7299445433177976,0.0387512387172366,-0.0020256802246338,0.0061389
0.8,41.08240011515455,0.0643978607717265,0.0862804206775918,0.2188924253846975,-0.6650654036443111,0.0126413582649017,-0.0415418129819292,0.0862804206775918,0.7342927601696488,0.0388076846916407,-0.0024135951674933,0.0064374
0.88,41.02694370141948,0.0652479153786194,0.0829231959964606,0.2256610132689316,-0.721328804981957,0.0087311766774215,-0.0408421893988306,0.0829231959964606,0.7367583497761808,0.0388448509305233,-0.0023793661646023,0.0065264
0.96,40.9669930369774,0.0658157295766716,0.079729892913452,0.2321652622892869,-0.7773368625231226,0.0055970058912403,-0.0381626808689436,0.079729892913452,0.7379098483812047,0.0388703309126435,-0.0022297763092909,0.006611
1.04,40.90258316100675,0.0661620063754094,0.0767372580052617,0.2384247876002774,-0.8328545644066281,0.0031105386488235,-0.0385449362908138,0.0767372580052617,0.7381358543990545,0.0388932824613917,-0.002259209247164,0.0069477
1.12,40.83375493308414,0.0663159454905185,0.0734025435651733,0.2444326117185068,-0.8876299344773765,0.0007738879620007,-0.0435120968185156,0.0734025435651733,0.7373246340881231,0.0389192343651112,-0.0025589510215791,0.0077031
1.2,40.76059508272187,0.0662902493963721,0.0697603240959071,0.2501606552878234,-0.9411198500629028,-0.0013737188018888,-0.0469081786412621,0.0697603240959071,0.7354609414396835,0.0389391134252512,-0.0027685867501314,0.0085082
1.28,40.68322154742972,0.0661052765657099,0.0660104507040482,0.255592125811974,-0.9929388307589372,-0.0032098722329037,-0.0475201101969152,0.0660104507040482,0.7327254149191861,0.0389507669391941,-0.002815382229519,0.0092481
1.36,40.60177424433012,0.0657824146430612,0.0621444582523687,0.260718372962413,-1.0428906296370872,-0.0048038722944661,-0.0481116675141719,0.0621444582523687,0.7292582567569299,0.0389590394003655,-0.0028618771207679,0.0100754
1.44,40.5164131532365,0.0653438687970773,0.0582339465638392,0.2655354543362573,-1.0907715775070188,-0.0061536166948069,-0.0498377631038472,0.0582339465638392,0.7252205738348513,0.0389660372206801,-0.0029770570463947,0.0110361
1.52,40.427295782584096,0.0647863246942453,0.0534962237296776,0.2700160988056755,-1.1370415129572358,-0.0080249820119772,-0.0769110284643989,0.0534962237296776,0.7205673116076876,0.039012584912464,-0.004614555060375,0.0137056
1.6,40.33449154148079,0.0639555883041507,0.0436993440763211,0.2739617217841313,-1.18273606929332,-0.0137462237983959,-0.1772066013015593,0.0436993440763211,0.7131130058334773,0.0391878325204701,-0.0106811329401654,0.0217559
1.68,40.238132815810765,0.0624057872988242,0.0238812128114426,0.2767383369733671,-1.225327856309686,-0.0261137150491846,-0.3179504246186519,0.0238812128114426,0.6976147141733002,0.0394515292792517,-0.019256367563986,0.034342
1.76,40.13868477358269,0.0596457360226253,-0.0055820649951811,0.2775163884483687,-1.258852405771894,-0.0432272462467567,-0.4038323701645318,-0.0055820649951811,0.6703612370145464,0.0396398293769276,-0.0245790701830863,0.0459367
1.84,40.03709114836106,0.0555119273463545,-0.0383734405392269,0.2757579146587794,-1.278472508424174,-0.0595917900278537,-0.4047665381839133,-0.0383734405392269,0.633317663502305,0.0396718926212005,-0.0247611132404483,0.0536886
1.92,39.93454356063464,0.050228214326761,-0.0691070217434891,0.2714348384115939,-1.28263172322296,-0.071687099965267,-0.3608058681631031,-0.0691070217434891,0.5909759372214773,0.0395918591873972,-0.0221853732537237,0.0589424
2.0,39.83228905768811,0.0441747093258781,-0.0956562861565842,0.2648125246755242,-1.2710986900301504,-0.0788061757974132,-0.3004696330170325,-0.0956562861565842,0.546740791109839,0.039445346282361,-0.0185703741632399,0.0628532
3.04,38.95830986703474,-0.0005817670270225,-0.1242114128602934,0.1190539632098309,-0.2386729661359843,0.0039357612587071,0.0892956798586722,-0.1242114128602934,0.3072079713336355,0.037687059351892,0.0057692695502248,0.0658043
3.12,38.94322377525637,-5.833989574746104e-05,-0.1170754819977654,0.1094035628935948,-0.1388626327937535,0.0089645663611784,0.0869541918487577,-0.1170754819977654,0.3135715779663495,0.0376735732642743,0.0056223427830592,0.0644602
3.2,38.936030223382815,0.0008212596377418,-0.1103348543616317,0.1003098576187584,-0.0414033889963778,0.0128504776048495,0.0813130114328313,-0.1103348543616317,0.3215202164580188,0.0376774228451474,0.0052595344270351,0.0632212
3.28,38.9365297180898,0.0019745820235568,-0.10393111750616,0.0917413121363185,0.0533891993278098,0.0158418895745439,0.0782970632127687,-0.10393111750616,0.3305841105718682,0.0376861354629658,0.0050643252126554,0.0617376
3.36,38.944486119860734,0.0033335564536565,-0.0979298846480967,0.0836708510881928,0.1449613367387485,0.0179794676782978,0.0713849984467136,-0.0979298846480967,0.3405046801893829,0.0377089660145999,0.0046153601567332,0.0604727
3.44,38.95963166364382,0.0048288634320657,-0.0925554133970009,0.0760570660040955,0.233130574579624,0.0192468456081728,0.0638591426294641,-0.0925554133970009,0.3507692002973809,0.0377394896007146,0.0041255703413817,0.0592887
3.52,38.9817010790476,0.0064004721789716,-0.0874780480887892,0.0688521156738788,0.3180592968577442,0.0200860706645358,0.0650198941079596,-0.0874780480887892,0.3611063367049135,0.0377590261593378,0.004195804858281,0.0575618
3.6,39.010433556508616,0.008048047357438,-0.0818308293712802,0.062073060194827,0.3997060755410681,0.0212028841496538,0.0777471381958887,-0.0818308293712802,0.371928304001417,0.0377589195416549,0.0050097200242211,0.0549596
3.68,39.04554844516722,0.0098090030683138,-0.0751189687133947,0.0557912700060728,0.4774086176636037,0.0228286472598538,0.0887202419788046,-0.0751189687133947,0.3838997359004146,0.0377602193258008,0.0057065057628595,0.0522327
3.76,39.0866957726689,0.0117009107188519,-0.0679076891956015,0.0500684769867716,0.5504747284226963,0.0244332925423205,0.0897719490848055,-0.0679076891956015,0.3969362700416333,0.0377795267394729,0.0057620010730503,0.0499919
3.84,39.13348941755955,0.0137003022774503,-0.061026568719761,0.0449156575626896,0.6185318700494555,0.0254168446634745,0.0813652493376252,-0.061026568719761,0.4104711781061754,0.0378190723933754,0.0052099362388904,0.04836
3.92,39.185534820569615,0.0157500442113756,-0.0547382933082818,0.0402867682275784,0.6818686200892843,0.0257886371260811,0.0785159443380782,-0.0547382933082818,0.4238381824195345,0.0378535688126664,0.0050141451142678,0.0464545
4.0,39.24247365754088,0.0178371526817804,-0.0479559606779832,0.0361718156603191,0.7408231661684487,0.0265070316818268,0.0921495373970944,-0.0479559606779832,0.4373719276837666,0.0378598844599529,0.0058677419447886,0.0434062
4.08,39.30394491674017,0.0200210666917136,-0.0395301880190389,0.0326567367284617,0.7951684506132182,0.0283578970093404,0.1212864499745952,-0.0395301880190389,0.4519851359540379,0.0378364185343602,0.0076989340068493,0.0390598
4.16,39.36954904199972,0.0224133537662544,-0.0286487497779505,0.0299136445933921,0.8439336399993783,0.0316657243563057,0.1508740784720471,-0.0286487497779505,0.4688904795040059,0.0378075703044164,0.0095451849426443,0.0341778
4.24,39.43880687452668,0.025124239022806,-0.0151985529803865,0.0281412227431265,0.8863309060661415,0.0363348043258166,0.1854394090169266,-0.0151985529803865,0.48860009372686,0.037768696599935,0.0116908232897689,0.0284078
4.32,39.51116650532317,0.0282659690590699,0.0012675125832347,0.0275601945360192,0.9214468925144574,0.0425398637314144,0.2313647450436378,0.0012675125832347,0.5117821025507877,0.0377108223314218,0.0145327591654326,0.0212276
4.4,39.58602862805034,0.0320123792982714,0.0228178443483539,0.0284819248098027,0.9485007811437376,0.0516935009283745,0.3080033895344318,0.0228178443483539,0.5400460753198637,0.0375987259512291,0.0192735726175173,0.0110084
4.48,39.66262098043677,0.0366092164916144,0.0500889440536406,0.0313659095840332,0.9640540964127168,0.0634882588952542,0.3659207571072863,0.0500889440536406,0.5757009162982671,0.0375167442761561,0.0228094505396947,0.0006064
4.56,39.739866020033695,0.0421563422833967,0.0796496293517917,0.0365587803236811,0.9642757141311342,0.0747424362424502,0.3613858872984577,0.0796496293517917,0.618111786682736,0.0375527696336192,0.0224392836741257,-0.0067554
4.64,39.81645528838678,0.0484628225566896,0.1066774835964627,0.0440399628896357,0.947694982468944,0.0821550032192441,0.3111585483503556,0.1066774835964627,0.6635469150634957,0.0376948683248242,0.0192462953691664,-0.0112349
4.72,39.89106348909724,0.055180921268537,0.129131536505974,0.0535052408300824,0.9147795137192332,0.0850346623371026,0.2477375000936947,0.129131536505974,0.7087419146271594,0.03788960637201,0.0152662060169175,-0.0143389
4.8,39.96239146608016,0.0619389029383458,0.1457590484516244,0.0645439103959019,0.8659541992497165,0.0831281386452245,0.1672722077449592,0.1457590484516244,0.7513195168822813,0.0381377040204721,0.0102709696716601,-0.0154535
4.88,40.02924268508161,0.0683637986859471,0.1558944153143359,0.0766548280279127,0.8031451129363985,0.0767931612215813,0.0879414625510117,0.1558944153143359,0.7888580105940715,0.0384024195461238,0.0053818245317886,-0.0154037
4.96,40.09058381125547,0.0741363750624363,0.1601209798580627,0.089325634305775,0.7288630110270315,0.0672342625476957,0.023051645653421,0.1601209798580627,0.819926002533108,0.0386511227775598,0.0014063964814377,-0.0149411
6.0,40.174253791069205,0.1079375618084477,0.2042785735216608,0.2653155651583973,-0.6782675704990213,0.0299454465016391,0.07251132065927,0.2042785735216608,1.0056513047752522,0.0393398880341463,0.0044055564956502,-0.041752
6.08,40.11452922325601,0.1103078366287264,0.2090760671395502,0.2818637578505564,-0.8152729269327432,0.0291292160637791,0.0492255947745678,0.2090760671395502,1.0201469797898073,0.0394209311017777,0.0029997023969346,-0.0423727
6.16,40.04369081635349,0.112552860708309,0.2116599947919871,0.2987058239696813,-0.9558881048832528,0.0268907566140819,0.0188496277589558,0.2116599947919871,1.0330373496597565,0.0395192274890406,0.0011527235788294,-0.0421323
6.24,39.96152063476343,0.114582370316015,0.2121974180477824,0.3156745509227583,-1.0989092921471708,0.0236288920059765,-0.0060155174055589,0.2121974180477824,1.043770463076478,0.0396117557829566,-0.0003693852703256,-0.0417739
6.32,39.867845984885925,0.1163248569095875,0.2111324872730312,0.3326171978191556,-1.243261025218163,0.0198792557141102,-0.0194555677174769,0.2111324872730312,1.0521318233534058,0.039685119133293,-0.0012002976666089,-0.0417
6.4,39.76257116824364,0.1177575630452286,0.208945614339438,0.349424455268097,-1.3883045306617956,0.0159940765550025,-0.0330148883315301,0.208945614339438,1.0584395607282444,0.0397548398848543,-0.0020476301291929,-0.0412777
6.48,39.64571110748112,0.1188823759637565,0.2058177646951368,0.3660215329870268,-1.533204643553262,0.0121232849393328,-0.0449969939185023,0.2058177646951368,1.0627657720992567,0.039817524414514,-0.0028072537751706,-0.0406405
6.56,39.51729480529219,0.1197026467329206,0.2019506267077848,0.3823360657492324,-1.6770504231750785,0.0084544358504434,-0.0500001077913611,0.2019506267077848,1.0651400130190398,0.0398636563160497,-0.0031396925627083,-0.0401597
6.64,39.37743278953891,0.1202554755759834,0.1980407986915036,0.3983347735572619,-1.819129857650576,0.0054598940012023,-0.048344142160888,0.1980407986915036,1.0661082043167078,0.0398915300986153,-0.0030573112748049,-0.0399594
6.72,39.226286832030645,0.120594464579403,0.1942570028335985,0.414025838468379,-1.9591817943194707,0.0031228739753656,-0.0463282195528166,0.1942570028335985,1.0661188946476694,0.0399120430477555,-0.0029524449461947,-0.039705
6.8,39.06402979928361,0.1207690579953332,0.1906153531228643,0.4294184212591981,-2.096893832230127,0.0013448388430365,-0.0457091071860511,0.1906153531228643,1.0654483267547472,0.0399294245778086,-0.0029372387614676,-0.0393118
6.88,38.890845701865246,0.1208145223540702,0.1867215126508616,0.4445197629732673,-2.232210621238941,-0.0002974672396447,-0.0526708769790233,0.1867215126508616,1.064159641309688,0.0399568674165168,-0.0034148086469886,-0.038328
6.96,38.70694819970673,0.1207152057738453,0.1819967141378581,0.4592736813002826,-2.3647759023825885,-0.0022274038160426,-0.0666368322760196,0.1819967141378581,1.0618560260388836,0.0399959840367276,-0.0043614116432316,-0.0366669
7.04,38.51257926485912,0.1204505560680095,0.1763113132841891,0.4736121875468426,-2.493858800013061,-0.0044304331637177,-0.075865495636718,0.1763113132841891,1.0581628748762415,0.0400272195987883,-0.0050156784497029,-0.0350482
7.12,38.30803365575067,0.1200035675118433,0.1699068732474987,0.487463105360324,-2.619013182321596,-0.0067006791361571,-0.0827903110266969,0.1699068732474987,1.053158290216749,0.0400530540679855,-0.0055321047003974,-0.0333497
7.2,38.093651724110096,0.1193820039931639,0.1630875237172314,0.5007857925436963,-2.739814497327268,-0.0088150040002073,-0.0872609458617913,0.1630875237172314,1.0470329982208562,0.0400720169637197,-0.0058966493096087,-0.0316402
7.28,37.86978053020609,0.1185926224383895,0.1556549620906587,0.5135439576284782,-2.8562824726196734,-0.0110364045801434,-0.1026791564623896,0.1556549620906587,1.03993853903588,0.0401087967199739,-0.007020811503013,-0.0289808
7.36,37.63674944672121,0.1175713336680607,0.14559389719008,0.5256241912190307,-2.9688828343418394,-0.0150351202639469,-0.1583963092293486,0.14559389719008,1.0309713066272308,0.0402242550803904,-0.0109650707835387,-0.0229296
7.44,37.39485804216673,0.1160496609498782,0.1283240118701411,0.5366464183659663,-3.0774876799733057,-0.024091389080993,-0.2798994247821271,0.1283240118701411,1.016737918465008,0.040481627498945,-0.0196276735241806,-0.0106311
7.52,37.14455743025104,0.1135449931921938,0.1006429239436171,0.5458723794139486,-3.178266764674312,-0.0394006105268344,-0.4059404398798693,0.1006429239436171,0.9919459473844658,0.0407759379208799,-0.0288511108253418,0.0046382
7.6,36.8866848831635,0.1096629440119743,0.0649983160084919,0.5525378983733551,-3.266098744910904,-0.057866137568999,-0.4741637534320559,0.0649983160084919,0.9547828311331044,0.0409703011044909,-0.0341727318091091,0.0182354
7.68,36.62242256615335,0.104318300509821,0.0265232534357014,0.5561990144382757,-3.3375621871463386,-0.0752715593479061,-0.4809808828643784,0.0265232534357014,0.9075321684031354,0.0410275117209026,-0.0351661054265374,0.0288639
7.76,36.35314761362292,0.0977107089578922,-0.0110198940483435,0.5568053828746304,-3.3912428892864552,-0.08922576386025,-0.4517463774694546,-0.0110198940483435,0.8536995442746209,0.0409789628672735,-0.0335197859152809,0.0374163
7.84,36.08033059636272,0.0901784795675006,-0.044768619260724,0.5545385128278154,-3.4260270984601138,-0.0981260022774183,-0.3865688859987779,-0.044768619260724,0.7965435974886539,0.0408173118622675,-0.0291190013600099,0.0430767
7.92,35.80547131046375,0.0821659718119806,-0.0726097323054103,0.5498040931939371,-3.4425563950833418,-0.1013339056800253,-0.3112527879461841,-0.0726097323054103,0.7399604715737295,0.0405919618442912,-0.0238070211660889,0.0470445
8.0,35.52996831901469,0.0740823406679565,-0.0949521901719285,0.5430671669303673,-3.4422573657429423,-0.1000977135183019,-0.2473535771386639,-0.0949521901719285,0.6861857353751025,0.0403579861673862,-0.0192140604304207,0.0507926999999999
8.08,35.25512798603303,0.0662380704262025,-0.1125153057663488,0.5347393239031086,-3.4262051943497256,-0.0955426780862868,-0.1917259487967793,-0.1125153057663488,0.6363151573529955,0.0401216666874743,-0.0151260977209372,0.0540733
8.16,34.98216678737897,0.0588666000829689,-0.1255850086228866,0.5251823166796526,-3.395402677370745,-0.088252158464735,-0.1343534588644909,-0.1255850086228866,0.5911740334557515,0.0398704666034017,-0.0107657932907485,0.056036
8.24,34.71220449590313,0.052171675223,-0.1344990753656283,0.5147593234640188,-3.3517216024168235,-0.0789779978932742,-0.0908475817802074,-0.1344990753656283,0.551935209904461,0.039643851084143,-0.0073933212566282,0.0578774
8.32,34.44618808417629,0.0462467262077219,-0.1408066154931302,0.5037359188022766,-3.296946594090256,-0.0691734264268497,-0.0695057773021393,-0.1408066154931302,0.5183643696677301,0.0394708733745165,-0.0057441948691612,0.0605676
8.4,34.18494928410703,0.04108569909369,-0.1460300599414692,0.4922546304429973,-3.232179565338209,-0.0599718422284539,-0.0625722829839775,-0.1460300599414692,0.4893969831693084,0.0393442470628412,-0.0052505248500889,0.0638359
8.48,33.9292875284173,0.0366257961935761,-0.1508325700004112,0.4803814901236928,-3.15817358737972,-0.051701236053897,-0.0585810704295713,-0.1508325700004112,0.4641016480755113,0.0392416998439366,-0.0049899755802108,0.0669247
8.56,33.67988445724778,0.0327897304525937,-0.155406124714318,0.4681319610233242,-3.075594877161893,-0.0443683723232444,-0.0563475554891748,-0.155406124714318,0.4419702132054826,0.0391596131485563,-0.0048710713546289,0.0698167
8.64,33.43739776455073,0.02950097222332,-0.1599624920147104,0.4555161960996944,-2.98514917386524,-0.0380264075901217,-0.0579872603065437,-0.1599624920147104,0.4225557699457335,0.0391018328611561,-0.0050857879063347,0.0727805
8.72,33.20244942038934,0.0266765657490826,-0.1647796669967444,0.4425289965575268,-2.88739013656048,-0.0327489268463082,-0.0623928196242276,-0.1647796669967444,0.4052639772203967,0.0390652801957123,-0.0055498975004371,0.0758285
8.8,32.975603313628426,0.0242334817127665,-0.1699717482221425,0.4291411027484658,-2.7826496631198365,-0.0284797907786689,-0.0682262129945032,-0.1699717482221425,0.3895921696604948,0.0390453497502234,-0.0061525671600652,0.0789145
8.88,32.757409631507066,0.0221017344260946,-0.1754328078293226,0.4153279938769137,-2.6710347863968407,-0.0249687868364107,-0.0683010403577775,-0.1754328078293226,0.3750996956304067,0.0390226699114698,-0.0062416413926916,0.0814038
8.96,32.548416482979604,0.020229396017582,-0.1807285106393036,0.401075369200732,-2.552799050457825,-0.0218066361028523,-0.0640250009205701,-0.1807285106393036,0.361842246874308,0.0389962166367208,-0.0059262567335013,0.0833389
9.04,32.34913633520534,0.0186127994613033,-0.1853831373281112,0.386426120499999,-2.4281762823387414,-0.0185966749599384,-0.0520107010324025,-0.1853831373281112,0.350029404497521,0.0389546491779134,-0.0048736902552854,0.0842894
9.12,32.16006106414044,0.0172608478528221,-0.1890202693319978,0.3714411759985174,-2.297707914452483,-0.0151155582952723,-0.0380716333938795,-0.1890202693319978,0.3400961742128844,0.0389096061619657,-0.0036095941809063,0.0846889
9.2,31.98164602532559,0.0162054207056628,-0.1914436413796815,0.3562174495877826,-2.161975684549171,-0.0112874923464647,-0.0237701094549974,-0.1914436413796815,0.3323784407204133,0.0388645084489321,-0.0022788731662033,0.0846186999999999
9.28,31.81426602461557,0.0154566636456638,-0.1929462138937192,0.3408353961460502,-2.0217412892933537,-0.0074165515417451,-0.0144115193675328,-0.1929462138937192,0.3268835499891807,0.0388343996094722,-0.0013962286672122,0.0846413999999999
9.36,31.658270523668985,0.0150127218373532,-0.1938169744473035,0.3253613677350091,-1.877545170237041,-0.0037171994965778,-0.0069994887188951,-0.1938169744473035,0.3233540274752325,0.0388135875953314,-0.0006848296319118,0.084541
9.44,31.51394969826205,0.0148546475213934,-0.1942009412559184,0.3098385202270614,-1.7299711789271317,-0.0002928563717143,-0.0023749693950958,-0.1942009412559184,0.3216344911473845,0.0388045871483771,-0.0002345000501606,0.0844441
9.52,31.381543715587117,0.0149562636077993,-0.1942680060098524,0.2942971273137471,-1.5795184430810685,0.0027597885079274,0.0003721088221669,-0.1942680060098524,0.321471006813764,0.0388054306079197,3.705202573385524e-05,0.0843163
9.6,31.26128640438846,0.0152839693642643,-0.1941722687951975,0.2787590838017457,-1.4267041003686296,0.0053627558695931,0.0015230847460122,-0.1941722687951975,0.3225970266509135,0.0388154007439348,0.0001528273122814,0.084183
