Cm_act,Cm_pred,Error
0.01942104728043465,0.019315087812082472,0.5455909087813505
0.01791380397071416,0.01799914260970433,0.47638479872663486
0.016459148910279955,0.016676997511366434,1.3235714815753097
0.015152110192836556,0.015359504738413396,1.3687502462521026
0.01389795627622406,0.01405789956692332,1.1508403647296122
0.012697104504329364,0.012783371714789882,0.6794242768585806
0.011549970678264451,0.011546608900229974,0.029106377220540387
0.010385401188310966,0.010357351070294778,0.2700918097199741
0.00935208593078956,0.009223996017728602,1.3696400354839762
0.008276758409835556,0.008153292932591864,1.4917129524642632
0.007317682224057355,0.007150150172212322,2.289414143924708
0.006426371667712365,0.00621756907025648,3.24915221609355
0.00556196801215976,0.005356699922936234,3.6905657992775573
0.004741825514496055,0.004567002553986739,3.68682820518957
0.003981683355416855,0.003846484493972735,3.395520170135831
0.0033346763168223548,0.0031919859026328726,4.278988442436094
0.002634294709813162,0.00259948158639655,1.321534879409183
0.0020385026907957654,0.002064375431111022,1.269203147588529
0.0014740277656638545,0.0015817694239812635,7.309337098469487
0.0010054902820278641,0.0011466964153461143,14.043510498526835
0.0005971121094547685,0.0007543115950961812,26.326628308535525
0.0002696423446790566,0.0004000417127481906,48.36012245196228
-4.725480423195538e-05,7.969336723782222e-05,-268.646063681988
-0.0003429821995441368,-0.00021047729050199804,-38.633173738536044
-0.00065044333090504,-0.0004737306662958296,-27.168033895178667
-0.0009093025074664376,-0.0007128423710386703,-21.605586129434347
-0.0011162777478953348,-0.0009301302035766221,-16.6757372589108
-0.0013232256730541375,-0.0011275039060239453,-14.791261310585577
-0.001518500001369029,-0.0013065307100647988,-13.959123550419866
-0.001634410846905937,-0.0014685087399059216,-10.15057550028383
-0.001727556020173035,-0.0016145403000564565,-6.541942420209254
-0.0018157267316723374,-0.0017455981232323975,-3.862288703286835
-0.0018490788982210363,-0.0018625796085772195,-0.7301316546942371
-0.0018934884520665357,-0.0019663465039681458,-3.8478212963006686
-0.0019038012332004278,-0.0020577498535038832,-8.08638095294521
-0.0019713796313898316,-0.0021376419099801425,-8.433803207812147
-0.00202568022463373,-0.0022068778706293424,-8.945027146541607
-0.002102526180079438,-0.002266310716611583,-7.789892848133626
-0.0021762529779974435,-0.002316782265761194,-6.45739668983997
-0.0023402412416636334,-0.0023591130011169636,-0.8064023108965754
-0.002413595167493246,-0.002394092530296009,-0.8080326584964305
-0.0024396993554344285,-0.0024224718298037004,-0.7061331385915952
-0.002469778128564838,-0.0024449578362903193,-1.0049604046393301
-0.002452192775955632,-0.0024622105071752803,-0.4085213576140817
-0.0023793661646022285,-0.002474842187328165,-4.012666236341877
-0.0023248124006828436,-0.0024834189638517704,-6.822338143169785
-0.0023306972533372397,-0.0024884636352979217,-6.769063709788224
-0.0022840557729235447,-0.0024904599330544466,-9.036739057676723
-0.0022297763092908388,-0.002489857684775415,-11.664011963930719
-0.0021416837300682334,-0.002487078683443153,-16.1272623275667
-0.0021462801061482434,-0.002482523108858846,-15.666315023253457
-0.002204823282442439,-0.002476576434982232,-12.325393817447022
-0.0022592092471639402,-0.0024696168452641998,-9.31332935912825
-0.0023202125429864426,-0.0024620232713376475,-6.111971456230228
-0.0024396337795588377,-0.0024541842735900307,-0.5964212396593477
-0.002524323662388639,-0.0024465081034538913,-3.082630016672059
-0.002558951021579027,-0.002439434437927518,-4.670530332298435
-0.002620316440420628,-0.0024334484716697913,-7.131503885112428
-0.0026781969318450324,-0.0024290983104432937,-9.300982255630196
